No,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,no_segmen,segmen,hari,volume_lalu_lintas,satuan,tahun
1,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI KERJA,1653.4,SMP/JAM,2015
2,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,1328.6,SMP/JAM,2015
3,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI LIBUR,1564.8,SMP/JAM,2015
4,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,1210.6,SMP/JAM,2015
5,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI KERJA,3661.11,SMP/JAM,2016
6,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI LIBUR,2987.33,SMP/JAM,2016
7,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. RUMDIN - SIMP. TUGU KUJANG,HARI KERJA,3513,SMP/JAM,2017
8,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. RUMDIN - SIMP. TUGU KUJANG,HARI LIBUR,4006.1,SMP/JAM,2017
9,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. RUMDIN - SIMP. TUGU KUJANG,HARI KERJA,3513,SMP/JAM,2018
10,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. RUMDIN - SIMP. TUGU KUJANG,HARI LIBUR,4006.1,SMP/JAM,2018
11,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,3734.33,SMP/JAM,2019
12,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,3047.08,SMP/JAM,2019
13,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,3734.33,SMP/JAM,2020
14,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,3047.08,SMP/JAM,2020
15,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,3417.64,SMP/JAM,2021
16,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,3143.89,SMP/JAM,2021
17,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,3419.01,SMP/JAM,2022
18,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,3145.15,SMP/JAM,2022
19,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,5719.01,SMP/JAM,2023
20,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI KERJA,5719.01,SMP/JAM,2023
21,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,5845.15,SMP/JAM,2023
22,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI LIBUR,5845.15,SMP/JAM,2023
23,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,0,SMP/JAM,2024
24,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI KERJA,0,SMP/JAM,2024
25,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,0,SMP/JAM,2024
26,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI LIBUR,0,SMP/JAM,2024
27,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI KERJA,5271,SMP/JAM,2025
28,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI KERJA,5271,SMP/JAM,2025
29,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. PANGRANGO - SIMP. TUGU KUJANG,HARI LIBUR,5399,SMP/JAM,2025
30,32,JAWA BARAT,3271,KOTA BOGOR,3,SIMP. TUGU KUJANG - SIMP. PANGRANGO,HARI LIBUR,5399,SMP/JAM,2025
31,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",1527.3,smp/jam,2015
32,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",1527.3,smp/jam,2015
33,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",1347.7,smp/jam,2015
34,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",1347.7,smp/jam,2015
35,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",931.65,smp/jam,2016
36,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",817.11,smp/jam,2016
37,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",822.1,smp/jam,2016
38,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Libur",788.4,smp/jam,2016
39,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Kerja",1573.3,smp/jam,2017
40,32,Jawa Barat,3271,Kota Bogor,1,"Karadenan
  (Batas Kota)-Simp.Talang","Hari
  Kerja",1573.3,smp/jam,2017
41,32,Jawa Barat,3271,Kota Bogor,1,"Simp.Talang-Karadenan
  (Batas Kota)","Hari
  Libur",1361.5,smp/jam,2017
